normalized_name,alias1,alias2,alias3
Yale,Yale Law School,YLS,Yale University
Harvard,Harvard Law School,HLS,Harvard University
Stanford,Stanford Law School,SLS,Stanford University
Columbia,Columbia Law School,Columbia University
New York University,NYU,NYU School of Law,New York University School of Law
University of Chicago,Chicago Law,University of Chicago Law School,UChicago
University of Pennsylvania,Penn Law,UPenn,University of Pennsylvania Law School
University of Virginia,UVA,UVa Law,University of Virginia School of Law
University of Michigan,Michigan Law,University of Michigan Law School
Georgetown,Georgetown Law,Georgetown University Law Center
Cornell,Cornell Law School,Cornell Law
Duke,Duke Law School,Duke Law
Northwestern,Northwestern Law,Northwestern University School of Law
University of California Berkeley,UC Berkeley,Boalt Hall,UC Berkeley School of Law
University of California Los Angeles,UCLA,UCLA School of Law
University of Texas,UT Law,University of Texas School of Law
Vanderbilt,Vanderbilt Law School,Vanderbilt Law
University of Southern California,USC,USC Law,USC Gould School of Law
Boston University,BU Law,Boston University School of Law
Boston College,BC Law,Boston College Law School
George Washington,GW Law,GW,GW Law School
Fordham,Fordham Law School,Fordham Law
Emory,Emory Law School,Emory Law
Wake Forest,Wake Forest Law School,Wake Forest Law
University of North Carolina,UNC Law,UNC,UNC School of Law
Washington University in St. Louis,WashU,WashU Law
University of California Irvine,UC Irvine,UCI Law
University of California Davis,UC Davis,UC Davis School of Law
University of Washington,Washington Law,University of Washington School of Law
University of California Hastings,UC Hastings,Hastings
Tel Aviv University,Tel Aviv,Tel Aviv Law
New York University School of Law,NYU Law,NYU School of Law

