normalized_name,alias1,alias2,alias3
Tax,Tax Law,Taxation
Corporate,Corporate Law,Corporate Governance
Mergers & Acquisitions,M&A,M&A Transactions,Mergers and Acquisitions
Antitrust & Competition,Antitrust,Competition Law,Antitrust Law
Capital Markets,Securities,Capital Markets Law
Civil Litigation,Litigation,Civil Litigation Law
Corporate Governance,Governance,Corporate Law
Data Privacy & Cybersecurity,Privacy,Cybersecurity,Data Privacy
Derivatives & Structured Products,Derivatives,Structured Products
Environmental,Environmental Law,Environmental
Executive Compensation,Compensation,Executive Pay
Finance,Finance Law,Financial Law
Financial Institutions,Banking,Banking Law,Financial Institutions Law
Investment Management,Asset Management,Investment Funds
IP & Commercial Transactions,Intellectual Property,IP,Commercial Transactions
IP Litigation,IP Disputes,Intellectual Property Litigation
Liability Management & Special Opportunities,Liability Management,Special Situations
Private Credit,Credit,Private Lending
Private Equity,PE,Private Equity Transactions
Private Wealth,Wealth Management,Private Wealth Management
Public Company Advisory,Public Companies,Public Company Law
Real Estate,Real Estate Law,Real Estate Transactions
Restructuring,Bankruptcy,Restructuring Law,Bankruptcy Law
Shareholder Activism Defense,Activism Defense,Shareholder Activism
Sponsor Finance,Sponsor Lending,Sponsor Finance Transactions
White Collar Defense & Investigations,White Collar,White Collar Crime,Investigations

